Input Text Part 1,Input Text Part 2,Ground Truth Label,Model Prediction
"no problem, bye",good night,1,1
have you seen 21 jump street ( 2012 )? i thought that was a pretty funny movie,have you seen lethal weapon ( 1987 ),1,1
im a movie expert!,lol ahhh i ‚ ao√n√¥m still excited to see it!,1,1
it's with daniel radcliffe where he is like a reanimated corpse and he helps a guy stranded on an island. it's wacky.,great! what kind of movies do you like?,0,0
i loved that movie too.,me too,1,1
have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,and did you watch the exorcist ( 1973 )?,1,1
i love napoleon dynamite,good bye,0,0
birdman ( 2014 ) and the new rbg ( 2018 ) documentary for sure.,the others ( 2001 ) is pretty creepy,0,1
what kind of movies do you like.,can i help you find a good movie tonight?,0,0
"ok, have you seen get out ( 2017 )?",lol,0,0
"hey there, can i recommend a movie for you?",hello looking for a funny movie any suggestions?,1,1
great! what type of movies do you like?,did you watch avengers : infinity war ( 2018 )?,0,0
even though i would rather the old one,is there anything else i can help you with?,0,0
"good afternoon! i'm good, i hope you are well! are you looking for a movie suggestion?",hi how can i help you find a movie?,1,1
do you think you'd like the new jurassic world ( 2015 )?,what kind of movies would you like to watch?,1,1
hello,"thank you, good bye.",1,1
yes!,fight club ( 1999 ) and the shawshank redemption ( 1994 ) are two of my favorite movies.,0,1
no i havent.,have you seen lethal weapon ( 1987 ),0,0
"hey there, can i recommend a movie for you?",hi. how can i help you today?,1,1
"oh ok. dunkirk is a war movie, so i thought that's what you were looking for.",i really haven ‚ ao√n√¥t seen any recent one at lately,0,0
"i like action, comedy, and thrillers mostly. what about you?",what type of movies do you like?,1,1
i watched it the other night. i forgot how much i liked it!,what kind of movie genres do you like,0,0
what genre of movie do you like?,me what kind of movies do you like?,1,1
have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,well have you seen the avengers ( 2012 )?,1,1
hello,"hello, there is a movie that i have always enjoyed and i'm not sure what you would call the genre but the movie is donnie darko ( 2001 ) have you ever seen this one?",0,0
i really like captain america : civil war ( 2016 ) also,"it was really creepy, but i thought it was good!",1,1
thanks. goodbye.,hi,1,1
i haven't either but i plan on it.,"me, too!",1,1
have you seen 21 jump street ( 2012 ) or any of the the hangover ( 2009 ) movies?,have you ever seen click ( 2006 )?,1,1
yes very true,"i am good as well, thanks. how can i help you today?",0,0
hi are you looking for a movie,hey there. can i recommend a movie for you?,1,1
and did you watch you don't mess with the zohan ( 2008 )?,what was the last movie you saw?,1,1
as man of steel ( 2013 )?,the house ( 2017 ) was a good will ferrell movie from last year.,0,0
maybe 12 angry men ( 1957 ) and the dark knight ( 2008 )?,hello! i'm good. how are you? are you looking for a movie suggestion?,0,0
have you ever seen the conjuring ( 2013 )?,then might i recommend last action hero ( 1993 ) starring arnold schwarzenegger?,0,1
"great, anytime!",i have not seen peter rabbit ( 2018 ) i will have to add that one to my must watch list.,0,1
good bye,is there anything else i can help you with?,0,0
you may like rush hour ( 1998 ).,have you seen american pie ( 1999 )?,0,0
have you seen raiders of the lost ark ( 1981 )? that is a classic.,would the boy ( 2016 ) be a good horror choice?,0,0
is there anything else i can help you with?,can i help you find a movie?,1,1
well have you seen the avengers ( 2012 )?,"well, you should try them",0,0
"it was nice talking to you, good bye",let me think,0,1
"thank you too. you have a great day, good bye.",bye,1,1
i love bruce willis too and can watch the movie over and over.,"yes, that was funny!",1,1
live free or die hard ( 2007 ) is another they try to kill him agian,the house ( 2017 ) was a good will ferrell movie from last year.,1,1
what about black panther ( 2018 ),me what kind of movies do you like?,1,1
have you seen fifty shades of grey ( 2015 ),have you seen kiss kiss bang bang ( 2005 ),1,1
i'm not super familiar with scary movies. i have a friend who loves them and prefers the classics like a nightmare on elm street ( 1984 ) and bride of chucky ( 1998 ),no not seen it.,1,1
do you think you'd like the new jurassic world ( 2015 )?,"yes, what types of movies are you interested in?",1,1
i watched it the other night. i forgot how much i liked it!,no i havent seen the new one,1,1
so funny and just ridiculous.,it's awesome. its a really funny murder mystery with val kilmer and rdj,1,1
hi how can i help you find a movie?,hello! can i help you find a movie?,1,1
"thank you, good bye",hello!,1,1
what about spider - man : homecoming ( 2017 )?,have you ever seen you don't mess with the zohan ( 2008 )?,1,1
or maybe sex and zen ( 1991 )?,hey there. can i recommend something to watch?,0,0
i also would recommend you american pie 2 ( 2001 ),"no, bruce willis!",0,1
have you watched deadpool ( 2016 ) the first one?,hello there. looking for some good movies?,0,0
are you looking for a good movie to watch?,hello! how may i help you today?,1,1
did you watch avengers : infinity war ( 2018 ),maybe you feel like an action movie today? die hard ( 1988 ) or the transporter ( 2002 ),0,1
whats that?,must see!,0,0
bye,good bye,1,1
there are many of those movies any of them are really awesome,"yes, avengers is good",1,1
yes! i cant remember his name.,i seriously slept through captain america : civil war ( 2016 ) both times i watched it.,1,1
yeh that's the one she is a great actress,what about black panther ( 2018 ),0,0
"wonderful, i just seen this awesome movie call avengers : infinity war ( 2018 ), have you seen it?",i cant wait to see it.,0,0
what can i help you fiind tonight?,its the ultimate classic,0,0
"they are great movies, have you seen american gangster ( 2007 )",did you watch click ( 2006 )?,1,1
"i just watched the punisher on netflix, the show",no i havent.,1,1
i don't think there is a nicholas sparks movie you have not seen lol.,somthing like the godfather ( 1972 )?,0,0
"hello, what type of movies do you like?","hi, what kind of movies do you like?",1,1
those are great movies,i've heard the same abut that movie,1,1
hello can you tell me what kind of movies you like best?,a whole bunch of comedic actors are in it,0,0
have you seen girls trip ( 2017 ),have you ever seen you don't mess with the zohan ( 2008 )?,1,1
good bye i see you later,thank you! have a great day good bye.,1,1
"oh ok. dunkirk is a war movie, so i thought that's what you were looking for.",or the black panthers : vanguard of the revolution ( 2015 )?,0,0
i could enjoy it too.,you're welcome.,0,0
have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,have you ever seen you don't mess with the zohan ( 2008 )?,1,1
