,recommend_sentence,annotation,labels,type,WrongTime
303,I love Napoleon dynamite,1,7,personal_opinion,30
371,I don't think there is a nicholas sparks movie you have not seen Lol.,1,9,rephrase_preference,30
403,ok .. If it is the story of survival that you liked,1,9,rephrase_preference,30
420,I have not seen Peter Rabbit (2018) I will have to add that one to my must watch list.,1,10,self_modeling,30
421,I'll check out Groundhog Day  (1993) and American Pie  (1999) sometimes,1,10,self_modeling,30
631,i could recommend you too American Pie 2 (2001),1,2,encouragement,30
642,"Yes, I highly suggest Pineapple Express  (2008) !",1,2,encouragement,30
741,how about House of 1000 Corpses (2003),1,5,opinion_inquiry,30
747,How about the Sixth Sense?,1,5,opinion_inquiry,30
760,Do you like Pineapple Express  (2008) ?,1,5,opinion_inquiry,30
808,I watched it the other night. I forgot how much I liked it!,1,6,personal_experience,30
827,i really liked it,1,7,personal_opinion,30
922,There are. But of course you don't care for superhero films.,1,9,rephrase_preference,30
923,ok you meant no to thrillers completely,1,9,rephrase_preference,30
958,Oh wow ! I have to check it out for sure then,1,10,self_modeling,30
991,Those are great movies,1,11,similarity,30
997,"Cool. Maybe I helped. Yes, I love that movie.",1,11,similarity,30
95,I love mob movies. If you haven't seen Gangs of New York (2002) you should give it a peek,1,2,encouragement,29
161,I am here to help1,1,4,offer_help,29
169,oh yes let me think..,1,4,offer_help,29
170,It is my pleasure can help you,1,4,offer_help,29
234,Yes I seen it 3 time !,1,6,personal_experience,29
296,"I like Bruce Willis in a lot of movies, especially in Die Hard (1988)",1,7,personal_opinion,29
297,Not as old but Airplane! (1980) I would consider a semi classic.,1,7,personal_opinion,29
361,I hope this has helped?,1,8,preference_confirmation,29
382,"Oh ok. Dunkirk is a war movie, so I thought that's what you were looking for.",1,9,rephrase_preference,29
386,"Oh ok, so you like romantic comidies!",1,9,rephrase_preference,29
417,Okay I have to check it out,1,10,self_modeling,29
426,I will watch it soon,1,10,self_modeling,29
428,It's on my list of favorites.,1,10,self_modeling,29
482,That's funny too.,1,11,similarity,29
489,I thought so.  Very funny,1,11,similarity,29
718,Really? I didnt know that.  You are going to have me go look it up.,1,4,offer_help,29
725,I can recommend movies to you,1,4,offer_help,29
767,What kinds of movies have you liked before with this group of friends?,1,5,opinion_inquiry,29
775,I enjoyed House at the End of the Street (2012) but have not seen The Last House on the Left  (2009) or The Last House on the Left  (1972).,1,6,personal_experience,29
844,"scary movie is funny, I liked it a lot",1,7,personal_opinion,29
868,Or The Black Panthers: Vanguard of the Revolution (2015) ?,1,8,preference_confirmation,29
890,"So, what would you like to watch?",1,8,preference_confirmation,29
936,I cant wait!,1,10,self_modeling,29
1016,i could enjoy it too.,1,11,similarity,29
62,Its the ultimate classic,1,1,credibility,28
77,I will add it to the Netflix que. Thank you!,1,2,encouragement,28
81,Spotlight  (2015)  was awesome. I highly recommend it!,1,2,encouragement,28
84,I think you would really like The Shining  (1980) .,1,2,encouragement,28
166,Okay. I have a few ideas. Give me a minute,1,4,offer_help,28
193,Well how about Wonder Woman  (2017) .,1,5,opinion_inquiry,28
212,What genre of movie do you like?,1,5,opinion_inquiry,28
318,It is very good.,1,7,personal_opinion,28
387,you like funny movies.,1,9,rephrase_preference,28
391,yes. Well you like Will Smith :),1,9,rephrase_preference,28
411,I will this weekend,1,10,self_modeling,28
446,Oh that sounds like one I will have to check out.,1,10,self_modeling,28
447,Well I think I will have to be looking into some movies myself now.,1,10,self_modeling,28
488,I enjoyed The Texas Chainsaw Massacre  (2003) too.,1,11,similarity,28
565,Great. Good bye my friend.,1,0,acknowledgment,28
637,definitely the movie Step Brothers  (2008) Is for you!,1,2,encouragement,28
750,I have never seen either of those movies.  do you like comedies like The Waterboy (1998)  or something like Black Sheep  (1996).,1,5,opinion_inquiry,28
780,I have not seen the remake.,1,6,personal_experience,28
806,I haven't actually seen that many.,1,6,personal_experience,28
812,"No, i have not watched neither heard",1,6,personal_experience,28
829,X-Men: The Last Stand (2006) was another good xmen movie,1,7,personal_opinion,28
854,There are many of those movies any of them are really awesome,1,7,personal_opinion,28
885,like Billy Madison (1995) ?,1,8,preference_confirmation,28
930,Well I could imagine if you are a fan of the older ones and if you like movies like Aliens  (1986) then Star Wars: Episode VIII ‚Äì The Last Jedi (2017)  maybe not your type of movie.,1,9,rephrase_preference,28
976,But I should check it out,1,10,self_modeling,28
994,yeah those are great movies,1,11,similarity,28
21,"you too, thank you...goodnight.",1,0,acknowledgment,27
22,You're welcome.,1,0,acknowledgment,27
52,i can recommend you The Mask  (1994) which was made by Jin Carrey,1,1,credibility,27
66,It's with Daniel Radcliffe where he is like a reanimated corpse and he helps a guy stranded on an island. It's wacky.,1,1,credibility,27
235,Empire of the Ants  (1977) freaked me out as a child,1,6,personal_experience,27
250,I havent seen either,1,6,personal_experience,27
259,I'm not super familiar with scary movies. I have a friend who loves them and prefers the classics like A Nightmare on Elm Street (1984) and Bride of Chucky (1998),1,6,personal_experience,27
276,I have not seen those movies.,1,6,personal_experience,27
289,We are a big fan of Spaceballs (1987) and Blazing Saddles (1974) in my house. A bit older like the two you mentioned and super funny. I just love Mel Brooks,1,7,personal_opinion,27
376,well you seem to be a stephen king expert,1,9,rephrase_preference,27
583,sounds good.  You have a great day.  Thank you and good bye.,1,0,acknowledgment,27
616,Enjoy them,1,2,encouragement,27
624,"a classic that I recommend is the movie the graduate, the soudtrank I liked a lot",1,2,encouragement,27
628,i also would recommend you American Pie 2 (2001),1,2,encouragement,27
647,Yeh Spiderman is a great movie,1,2,encouragement,27
721,I want to share movies to you,1,4,offer_help,27
727,"Okay, hold on and I'll recommend some",1,4,offer_help,27
733,Do you like scary,1,5,opinion_inquiry,27
784,I grew up watching A Nightmare on Elm Street (1984) and Friday the 13th  (1980).,1,6,personal_experience,27
856,The second one A Nightmare on Elm Street 2: Freddy's Revenge (1985) is great too.,1,7,personal_opinion,27
888,For an interesting action movie maybe Michael Clayton  (2007) ?,1,8,preference_confirmation,27
953,I want to see it. I heard good things.,1,10,self_modeling,27
995,Same here,1,11,similarity,27
999,I've heard the same abut that movie,1,11,similarity,27
61,There's a pbs channel with great documentaries.,1,1,credibility,26
72,Also Back to the Future (1985) is a classic sci-fi movie.,1,1,credibility,26
104,whats that ?,1,3,experience_inquiry,26
122,have you seen it,1,3,experience_inquiry,26
199,I like drama too. I really like Titanic (2012) . Do you like that?,1,5,opinion_inquiry,26
213,How about The Wedding Singer (1998),1,5,opinion_inquiry,26
247,Yes! I cant remember his name.,1,6,personal_experience,26
257,"I haven't seen RBG (2018) yet, but one of my friends was telling me she enjoyed it.",1,6,personal_experience,26
279,For me the best fantsy is The Lord of the Rings ,1,7,personal_opinion,26
287,Yeh that's the one she is a great actress,1,7,personal_opinion,26
341,maybe you feel like an action movie today? Die Hard (1988) or The Transporter (2002),1,8,preference_confirmation,26
357,Or even a classic/cheesy action film like The Rock  (1996) ?,1,8,preference_confirmation,26
486,Perfect! Me too!,1,11,similarity,26
763,What kind of movies do you like? I love horrors!,1,5,opinion_inquiry,26
818,I really haven‚Äôt seen any recent one at lately,1,6,personal_experience,26
830,That is very scary,1,7,personal_opinion,26
846,"Yes Adam Sandler has made so many great movies, I even like his newer ones like Click  (2006) and Grown Ups  (2010) .",1,7,personal_opinion,26
848,i loved that movie actually haha.,1,7,personal_opinion,26
851,I also enjoy classic horror movies like A Nightmare on Elm Street (1984)  and A Nightmare on Elm Street 2: Freddy's Revenge (1985),1,7,personal_opinion,26
872,Would The Boy  (2016) be a good horror choice?,1,8,preference_confirmation,26
920,All of your examples were Female leads,1,9,rephrase_preference,26
965,next movie i plan on seeing is Deadpool 2  (2018),1,10,self_modeling,26
972,I am not a horror film fanatic but I will watch it.,1,10,self_modeling,26
980,those are good movies as well,1,11,similarity,26
989,I love Bruce Willis too and can watch the movie over and over.,1,11,similarity,26
1001,"I know, Me Before You  made me cry!",1,11,similarity,26
1005,Yes very true,1,11,similarity,26
1049,Hello there. Looking for a good movie?,1,12,transparency,26
86,I've never seen Fear  (1990) .  Even though it's more 80s you might like Heathers (1988) if you liked Cruel Intentions (1999) .,1,2,encouragement,25
156,Hello there.  I am here to recommend some movies to you.,1,4,offer_help,25
221,"Well basically all the Avengers get together for a common goal, I really liked it.  I am, what about you?",1,5,opinion_inquiry,25
238,No not seen it.,1,6,personal_experience,25
262,We had to watch it for school,1,6,personal_experience,25
274,I havent seen that one,1,6,personal_experience,25
290,Stardust  (2007) is also a good action adventure romance.,1,7,personal_opinion,25
319,It's one of the best movies ever made.,1,7,personal_opinion,25
337,you like to watch them?,1,8,preference_confirmation,25
389,but you've probably already seen that..,1,9,rephrase_preference,25
459,"Yeah, I liked it too",1,11,similarity,25
483,Yeah thats a good one.,1,11,similarity,25
485,"Yes you do, maybe even too much.",1,11,similarity,25
495,Are you looking for a good movie to watch?,1,12,transparency,25
575,That's really good,1,0,acknowledgment,25
614,You can watch too if you want to The Exorcist  (1973),1,2,encouragement,25
629,"Well, enjoy your evening good bye",1,2,encouragement,25
677,did you watch Click  (2006) ?,1,3,experience_inquiry,25
730,"Oh, you like scary movies?",1,5,opinion_inquiry,25
792,I haven't seen Thor: Ragnarok (2017) .,1,6,personal_experience,25
807,I haven't seen that one,1,6,personal_experience,25
820,"I haven't seen it yet, but my friend liked it.",1,6,personal_experience,25
826,"Sure! I like comedies a lot. I like movies like Hot Tub Time Machine and Super Troopers (2001) , but I also like Identity Thief (2013) and The Heat  (2013) .",1,7,personal_opinion,25
838,I wasn't a big fan of Paranormal Activity (2007),1,7,personal_opinion,25
866,Yes! Batman has made a lot of good movies,1,7,personal_opinion,25
880,"Good. Would you like to watch some old horror movies like Night of Terror (1933), or Frankenstein  (1931)",1,8,preference_confirmation,25
947,I cant wait to see it.,1,10,self_modeling,25
954,I can't wait to see it,1,10,self_modeling,25
1004,Me too man,1,11,similarity,25
131,What about last year's The House  (2017) ?,1,3,experience_inquiry,24
152,Give me one moment!,1,4,offer_help,24
154,I have some movies to recommend to you!,1,4,offer_help,24
210,Aldo Titanic (2012) is great. what movies do you like,1,5,opinion_inquiry,24
236,No but I grew up watching it !,1,6,personal_experience,24
270,I havent even heard of that one,1,6,personal_experience,24
277,I have not seen taht movie,1,6,personal_experience,24
311,only a few jump scares,1,7,personal_opinion,24
327,Maybe a good comedy?,1,8,preference_confirmation,24
329,maybe Pitch Perfect 3 (2017) ?,1,8,preference_confirmation,24
398,Both are excellent movies. If you are looking for something a little lighter..,1,9,rephrase_preference,24
453,I gotta rec the classic Pirates of the Caribbean ,1,10,self_modeling,24
480,"Me too, bye",1,11,similarity,24
500,Are you looking for a movie to watch?,1,12,transparency,24
608,You should watch Police Academy  (1984),1,2,encouragement,24
609,yes you will enjoy them,1,2,encouragement,24
613,I can tell you to watch Click  (2006),1,2,encouragement,24
632,"Well, you should try them",1,2,encouragement,24
682,what about Spider-Man: Homecoming (2017) ?,1,3,experience_inquiry,24
722,I can recommend what you like,1,4,offer_help,24
736,tell me what kind of movie do you like?,1,5,opinion_inquiry,24
768,Do your friends also like scary movies?,1,5,opinion_inquiry,24
782,I am not sure that I know many musicals.  I have never seen Les Mis√©rables  (2012).,1,6,personal_experience,24
791,No I have not seen that movie.,1,6,personal_experience,24
822,I seen it 3 times I‚Äôm black panther out lol,1,6,personal_experience,24
847,I love the movie Little Nicky (2000)  an all time favorite,1,7,personal_opinion,24
873,Hi there are you interested in some classic comedies?,1,8,preference_confirmation,24
926,You if youre a fan of Seth Rogen haha.,1,9,rephrase_preference,24
988,I agree it was more intense then It(1988),1,11,similarity,24
993,"Yeah those are the best, especially Pulp fiction.",1,11,similarity,24
1029,are you looking for a movie?,1,12,transparency,24
